Marital status,Application mode,Application order,Course,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Displaced,Educational special needs,Tuition fees up to date,Gender,Scholarship holder,Target,Previous qualification (grade),Admission grade,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations)
1,17,5,171,1,1,19,12,5,1,0,1,1,0,Dropout,122.0,127.3,20,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,15,1,9254,1,1,1,3,3,1,0,0,1,0,GraduateANDEnrolled,160.0,142.5,19,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0
1,1,5,9070,1,1,37,37,9,1,0,0,1,0,Dropout,122.0,124.8,19,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,17,2,9773,1,1,38,37,5,1,0,1,0,0,GraduateANDEnrolled,122.0,119.6,20,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0
2,39,1,8014,1,1,37,38,9,0,0,1,0,0,GraduateANDEnrolled,132.6133137432188,141.5,23,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0
2,39,1,9991,19,1,37,37,9,0,0,1,1,0,GraduateANDEnrolled,133.1,114.8,23,0,5,10,5,11.857142857142858,0,0,5,8,5,11.5,0
1,1,1,9500,1,1,19,38,7,1,0,1,0,1,GraduateANDEnrolled,142.0,128.4,18,0,7,9,7,13.3,0,0,8,8,8,14.345,0
1,18,4,9254,1,1,37,37,9,1,0,0,1,0,Dropout,119.0,113.1,22,0,5,5,0,10.640821575154185,0,0,5,5,0,10.230205722716985,0
1,1,3,9238,1,62,1,1,9,0,0,1,0,1,GraduateANDEnrolled,137.0,129.3,21,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0
1,1,1,9238,1,1,1,19,4,1,0,0,0,0,Dropout,138.0,123.0,18,0,6,9,5,11.4,0,0,6,14,2,13.5,0
1,1,1,9670,1,1,38,19,5,1,0,1,0,0,GraduateANDEnrolled,139.0,130.6,18,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0
1,1,1,9500,1,1,19,38,9,1,0,1,0,1,GraduateANDEnrolled,136.0,119.3,18,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0
1,1,2,9853,1,1,19,37,4,1,0,1,0,0,Dropout,133.0,130.2,19,0,6,6,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,53,1,9254,42,1,1,1,4,1,0,1,0,1,GraduateANDEnrolled,110.0,111.8,21,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0
1,1,1,9085,1,1,38,37,5,1,0,1,0,1,GraduateANDEnrolled,149.0,137.1,18,0,5,7,4,13.25,0,0,5,5,5,12.0,0
1,1,1,9773,1,1,19,37,9,1,0,1,0,0,Dropout,127.0,120.7,20,0,6,6,5,13.2,0,0,6,7,0,10.230205722716985,0
1,18,1,9238,1,1,19,38,5,1,0,1,0,0,GraduateANDEnrolled,137.0,137.4,18,0,6,10,1,12.0,0,0,6,14,2,11.0,0
1,17,2,9500,1,1,19,1,5,1,0,1,0,0,GraduateANDEnrolled,135.0,127.3,18,0,7,8,7,13.30625,0,0,8,8,8,14.545,0
1,1,1,9130,1,1,3,19,3,1,0,1,0,0,GraduateANDEnrolled,137.0,136.3,20,0,5,8,4,12.5,0,0,5,8,4,12.25,0
1,1,1,9853,1,1,19,19,7,1,0,1,0,0,GraduateANDEnrolled,140.0,124.6,18,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0
1,1,3,171,1,1,1,1,9,0,0,1,0,1,GraduateANDEnrolled,122.0,120.3,21,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,18,4,9556,1,1,1,38,4,1,0,1,0,0,GraduateANDEnrolled,127.0,121.8,20,0,7,14,7,11.4375,0,0,8,9,8,11.425,0
1,1,4,9500,1,1,19,19,1,1,0,1,0,0,GraduateANDEnrolled,142.0,125.5,18,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0
1,1,4,9670,1,1,1,38,4,1,0,1,0,1,GraduateANDEnrolled,125.0,114.9,19,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0
1,1,1,9500,1,1,19,19,3,0,0,1,0,0,GraduateANDEnrolled,126.0,123.9,19,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0
1,1,1,9238,1,1,19,38,9,1,0,1,0,1,GraduateANDEnrolled,151.0,157.0,18,0,6,8,5,11.6,0,0,6,12,4,11.0,0
1,17,2,9238,1,1,19,38,7,1,0,1,0,0,GraduateANDEnrolled,115.0,116.4,21,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0
1,1,1,9085,1,1,19,19,3,1,0,1,0,0,GraduateANDEnrolled,138.0,131.0,18,0,5,9,5,12.666666666666666,0,0,5,7,4,13.0,0
1,1,1,9147,1,1,19,1,9,1,0,1,0,0,GraduateANDEnrolled,135.0,122.1,20,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0
1,17,2,9500,1,1,3,3,1,1,0,1,1,0,GraduateANDEnrolled,127.0,118.8,19,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0
1,44,1,9003,39,1,4,5,4,0,0,1,1,0,GraduateANDEnrolled,150.0,150.0,21,0,6,15,5,11.857142857142858,0,0,6,8,5,10.571428571428571,0
1,51,1,9070,1,1,42,3,125,1,0,1,1,0,GraduateANDEnrolled,125.0,130.0,20,0,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0
1,1,1,9147,1,1,1,1,4,0,0,0,1,0,GraduateANDEnrolled,143.0,138.8,18,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0
1,18,1,8014,1,1,19,1,9,1,0,1,0,0,GraduateANDEnrolled,138.0,134.5,19,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0
1,1,1,9991,1,1,2,37,3,0,0,1,1,0,GraduateANDEnrolled,130.0,131.4,34,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0
1,39,1,33,1,1,38,37,9,0,0,0,1,0,Dropout,130.0,102.5,23,0,7,7,0,10.640821575154185,0,0,7,7,1,10.0,0
1,39,1,9119,10,1,34,37,0,1,0,1,1,0,Dropout,133.1,128.8,23,0,5,0,0,10.640821575154185,0,0,5,0,0,10.230205722716985,0
1,43,1,9147,1,1,37,37,6,0,0,1,0,0,Dropout,140.0,122.9,23,0,5,10,1,10.0,0,0,5,8,2,12.0,0
4,39,1,9991,1,1,19,19,9,1,0,1,0,0,GraduateANDEnrolled,120.0,113.9,23,0,5,8,5,11.0,0,0,5,5,5,11.6,0
1,44,1,9130,39,6,4,4,3,0,0,0,0,0,Dropout,120.0,120.0,20,0,6,13,3,11.666666666666666,0,0,6,11,3,12.0,0
1,1,5,9773,1,1,3,3,2,0,0,1,0,0,Dropout,126.0,121.1,18,0,6,6,4,12.75,0,0,5,5,0,10.230205722716985,0
1,1,2,9147,1,1,3,19,2,1,0,1,0,0,GraduateANDEnrolled,133.0,120.4,22,0,5,5,5,14.8,0,0,5,5,5,15.8,0
1,1,6,9500,1,1,1,3,2,1,1,1,0,0,GraduateANDEnrolled,103.0,100.6,22,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0
1,17,1,9773,1,1,1,38,5,0,0,0,0,0,Dropout,120.0,121.4,20,0,6,7,4,13.0,0,0,6,7,5,13.8,0
1,39,1,9991,1,1,37,37,9,0,0,1,0,0,Dropout,133.1,109.7,29,0,5,0,0,10.640821575154185,0,0,5,0,0,10.230205722716985,0
1,17,1,9991,1,1,38,38,4,0,0,1,0,0,GraduateANDEnrolled,154.0,134.1,24,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,0
1,17,2,9238,1,1,19,19,9,1,0,1,0,0,GraduateANDEnrolled,130.0,127.6,18,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0
1,17,6,9500,1,1,37,19,7,1,0,1,0,1,GraduateANDEnrolled,132.0,132.4,22,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0
1,44,1,8014,39,1,1,19,9,0,0,1,0,1,GraduateANDEnrolled,130.0,133.4,21,0,6,6,6,11.5,0,0,6,7,6,13.285714285714286,0
1,1,1,9238,1,1,37,38,9,0,0,1,0,1,GraduateANDEnrolled,139.0,126.1,19,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0
1,39,1,9254,1,1,19,38,9,0,0,1,0,1,GraduateANDEnrolled,130.0,113.5,24,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0
1,1,1,9500,1,1,37,38,6,1,0,1,0,1,GraduateANDEnrolled,139.0,121.3,19,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0
1,1,1,9773,1,1,1,19,7,1,0,1,0,1,GraduateANDEnrolled,127.0,121.8,20,0,6,11,4,14.0,0,0,6,12,3,11.0,0
1,1,3,9130,1,1,37,37,90,0,0,1,0,0,GraduateANDEnrolled,132.6133137432188,159.3,19,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0
1,39,1,9991,1,1,38,38,9,0,0,1,0,0,Dropout,130.0,120.0,27,0,5,12,5,10.6,0,0,5,10,5,11.0,0
1,1,1,9500,1,1,1,19,5,1,0,1,0,0,GraduateANDEnrolled,130.0,129.1,18,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0
2,7,1,9254,3,1,1,3,4,0,0,1,0,0,Dropout,130.0,130.0,23,0,6,10,0,10.640821575154185,0,0,6,6,0,10.230205722716985,0
1,39,1,9130,40,1,3,3,2,1,0,1,0,0,Dropout,129.0,155.3,27,0,6,9,5,13.0,0,0,6,13,10,12.9,0
1,17,1,9500,1,1,38,38,7,1,0,1,0,0,GraduateANDEnrolled,141.0,139.8,18,0,8,8,8,14.935,0,0,8,8,8,14.935,0
1,1,3,171,1,1,38,37,4,1,0,1,0,0,GraduateANDEnrolled,125.0,115.2,18,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,1,2,9500,1,1,19,19,9,0,0,1,0,0,GraduateANDEnrolled,125.0,114.9,18,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0
1,44,1,9238,39,1,19,1,9,0,0,1,0,1,GraduateANDEnrolled,130.0,131.9,21,0,6,7,6,12.0,0,0,6,7,6,12.0,0
1,17,3,171,1,1,1,37,4,1,0,1,1,1,GraduateANDEnrolled,133.0,126.0,19,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,17,1,9070,1,1,1,1,3,1,0,1,1,0,GraduateANDEnrolled,127.0,130.2,19,0,6,6,5,11.4,0,0,6,8,1,10.0,0
1,43,1,9070,1,1,1,1,3,0,0,1,1,0,GraduateANDEnrolled,116.0,120.9,24,0,6,6,0,10.640821575154185,0,0,6,6,0,10.230205722716985,0
4,42,1,9500,19,1,1,1,5,1,0,1,1,0,Dropout,133.1,126.0,29,0,7,10,5,11.9,0,0,8,10,5,11.0,0
1,1,3,171,1,1,19,19,5,1,0,1,1,1,GraduateANDEnrolled,139.0,128.2,19,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,44,1,9003,39,1,19,37,9,1,0,1,1,0,GraduateANDEnrolled,130.0,130.0,23,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0
1,1,3,9147,1,1,1,38,7,0,0,1,1,0,Dropout,125.0,120.1,19,0,5,8,5,11.2,0,0,5,10,4,10.75,0
1,39,1,9254,1,1,19,37,7,0,0,1,1,0,GraduateANDEnrolled,160.0,100.0,26,0,6,7,6,12.0,0,0,6,8,5,10.8,0
1,17,1,9147,1,1,38,37,5,0,0,1,1,0,GraduateANDEnrolled,148.0,134.0,18,0,5,9,0,10.640821575154185,0,0,5,5,0,10.230205722716985,0
1,17,1,9500,1,1,37,19,8,0,0,1,1,0,GraduateANDEnrolled,150.0,130.8,24,0,7,8,7,11.975,0,0,8,8,8,13.75,0
1,1,1,171,1,1,19,19,5,1,0,1,1,0,Dropout,141.0,135.8,19,0,6,0,0,10.640821575154185,0,0,6,0,0,10.230205722716985,0
1,17,4,9254,1,1,38,37,5,1,0,1,1,0,Dropout,118.0,111.7,18,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0
1,1,2,9773,1,1,38,38,9,1,0,1,1,0,GraduateANDEnrolled,142.0,132.9,18,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0
1,17,3,9147,1,1,19,19,4,1,0,1,1,0,Dropout,120.0,115.5,18,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0
1,18,4,9254,1,1,19,37,7,1,0,1,1,1,Dropout,106.0,106.0,21,0,6,8,4,10.5,0,0,6,11,1,11.0,0
1,17,4,9773,1,1,1,19,9,1,0,1,1,1,GraduateANDEnrolled,121.0,120.3,19,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0
1,17,4,9500,1,1,38,37,9,0,0,1,1,1,GraduateANDEnrolled,150.0,130.8,22,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0
2,39,1,8014,1,1,37,37,9,0,0,1,1,0,GraduateANDEnrolled,120.0,117.0,33,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0
1,1,6,9853,1,1,19,19,9,1,0,1,1,0,Dropout,114.0,110.2,20,0,6,8,5,12.2,0,0,6,7,5,12.2,0
1,39,1,9991,2,1,3,3,2,1,0,1,1,0,Dropout,140.0,155.7,23,0,6,1,0,10.640821575154185,0,0,5,0,0,10.230205722716985,0
1,39,1,9003,4,1,3,3,4,0,0,1,1,0,Dropout,160.0,126.97811934900544,24,0,6,8,6,12.166666666666666,0,0,6,14,10,13.3,0
1,17,1,9254,1,1,19,19,4,0,0,1,1,0,GraduateANDEnrolled,120.0,125.5,18,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0
2,39,1,8014,1,1,37,37,9,1,0,1,0,0,GraduateANDEnrolled,130.0,110.0,33,0,6,7,6,11.0,0,0,6,11,5,11.0,0
1,42,1,9500,1,1,37,38,9,1,0,1,0,1,GraduateANDEnrolled,160.0,126.97811934900544,22,0,8,8,7,13.08,0,0,8,8,7,13.08,0
1,39,1,9670,1,1,1,19,4,0,0,1,0,1,GraduateANDEnrolled,120.0,100.0,25,0,5,7,4,10.5,0,0,5,7,5,11.6,0
1,17,1,9070,1,1,19,38,4,1,0,1,1,0,GraduateANDEnrolled,124.0,117.6,20,0,6,9,6,10.666666666666666,0,0,6,6,5,11.2,0
1,1,6,9147,1,1,38,37,9,1,0,1,1,0,GraduateANDEnrolled,143.0,128.7,23,0,5,6,4,14.0,0,0,5,5,5,13.8,0
1,43,2,9119,1,1,38,19,9,1,0,1,1,0,GraduateANDEnrolled,115.0,112.2,18,0,5,9,2,10.0,0,0,5,9,0,10.230205722716985,0
1,39,1,9500,1,1,1,1,4,0,0,1,1,0,Dropout,133.1,100.8,24,0,7,8,0,10.640821575154185,0,0,7,7,0,10.230205722716985,0
1,17,2,9773,1,41,19,1,9,1,0,0,0,0,GraduateANDEnrolled,133.1,105.0,21,0,6,6,6,14.0,0,0,6,6,6,13.5,0
1,15,1,9130,1,41,1,1,4,0,0,1,0,0,Dropout,133.1,100.0,26,0,6,7,2,12.0,0,0,6,6,0,10.230205722716985,0
